host,plant,jun_16,jul_16,aug_16,sep_16,oct_16,nov_16,dic_16,jan_17,feb_17,mar_17,apr_17,jun_17,jul_17,aug_17,sep_17,oct_17,nov_17,dic_17,Jan_18,feb_18,mar_18,apr_18,may_18,jun_18,
,MC112,,,,1,1,,,,,,,,,,,,,,,,,,,,
,MC113,,,,,,,,,,,,,,,,,,,,,,1,1,1,
1,MC114,,,1,,1,1,,,,,,,,,,,,,,,,,,,
,MC115,,,,1,1,1,,,,,1,1,,,1,1,1,1,,,,,,,
,MC116,,,,,1,1,,,,,,,,,1,1,1,1,,,,,,,
1,MC117,,,1,,,,,,,,,,,,,,,,,,,,,,
1,MC118,1,,,,,,,,,,,,,,,,,,,,,,,,
1,MB1-1,,,,,,,,,,,,,,,,1,1,1,,,,1,1,2,
1,MB1-2,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB1-3,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB1-4,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC1-1,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC1-2,,,,,,,,1,1,,,,,,,1,1,1,,,,,,,
1,MC1-3,,,,,,,,,,,,,,,,1,1,1,,,,,,,
1,MC1-4,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,
1,MC1-5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,suma de flores,43,42,91,97,155,148,126,67,70,43,39,44,29,42,89,90,81,105,4,4,5,13,15,18,60.83333333
,,,,,,,,,,,,,,,,,,,,,,,,,,
,vivos con hospedero,198,198,198,198,197,197,194,192,192,192,185,185,168,165,165,162,162,161,161,159,159,159,158,142,
,vivos sin hospedero,43,43,43,43,42,42,42,39,39,37,35,35,32,32,32,31,31,31,30,29,29,29,29,21,
,TOTAL,241,241,241,241,239,239,236,231,231,229,220,220,200,197,197,193,193,192,191,188,188,188,187,163,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,porcentaje con flores,18,17,38,40,65,62,53,29,30,19,18,20,15,21,45,47,42,55,2,2,3,7,8,11,
